CCTV,#genre#
CCTV1,http://39.134.115.163:8080/PLTV/88888910/224/3221225618/index.m3u8
CCTV1,http://183.207.249.170/ott.js.chinamobile.com/PLTV/3/224/3221225852/index.m3u8
CCTV1,http://183.207.248.166/ott.js.chinamobile.com/PLTV/3/224/3221225530/index.m3u8
CCTV1,http://39.134.115.163:8080/PLTV/88888910/224/3221225642/index.m3u8
CCTV1,http://183.207.248.107/ott.js.chinamobile.com/PLTV/3/224/3221227494/index.m3u8
CCTV1,http://183.207.249.238/ott.js.chinamobile.com/PLTV/3/224/3221227675/index.m3u8
CCTV1,http://183.207.249.205/ott.js.chinamobile.com/PLTV/3/224/3221227644/index.m3u8
CCTV1,http://183.207.248.171/ott.js.chinamobile.com/PLTV/3/224/3221227375/index.m3u8
CCTV1,http://223.110.241.137:6610/gitv/live1/G_CCTV-1-HQ/G_CCTV-1-HQ/.m3u8
CCTV1,http://223.110.243.159/ott.js.chinamobile.com/PLTV/3/224/3221227725/index.m3u8
CCTV2,http://223.82.250.72/ysten-business/live/cctv-2/1.m3u8
CCTV2,http://39.134.115.163:8080/PLTV/88888910/224/3221225619/index.m3u8
CCTV2,http://39.134.115.163:8080/PLTV/88888910/224/3221225643/index.m3u8
CCTV2,http://223.110.245.142/ott.js.chinamobile.com/PLTV/3/224/3221227708/index.m3u8
CCTV2,http://183.207.248.205/ott.js.chinamobile.com/PLTV/3/224/3221225881/index.m3u8
CCTV2,http://223.110.241.137:6610/gitv/live1/G_CCTV-2/G_CCTV-2/.m3u8
CCTV2,http://183.207.248.203/ott.js.chinamobile.com/PLTV/3/224/3221226993/index.m3u8
CCTV2,http://125.210.152.10:8060/live/CCTV2HD_H265.m3u8
CCTV2,http://183.207.248.208/ott.js.chinamobile.com/PLTV/3/224/3221227207/index.m3u8
CCTV2,http://183.207.249.167/ott.js.chinamobile.com/PLTV/3/224/3221227427/index.m3u8
CCTV3,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-3/1.m3u8
CCTV3,http://183.207.249.208/ott.js.chinamobile.com/PLTV/3/224/3221226360/index.m3u8
CCTV3,http://39.134.115.163:8080/PLTV/88888910/224/3221225634/index.m3u8
CCTV3,http://223.110.243.154/ott.js.chinamobile.com/PLTV/3/224/3221227650/index.m3u8
CCTV3,http://117.169.120.140:8080/live/cctv-3/.m3u8
CCTV3,http://39.134.115.163:8080/PLTV/88888910/224/3221225647/index.m3u8
CCTV3,http://223.82.250.72/ysten-business/live/cctv-3/1.m3u8
CCTV3,http://223.110.241.137:6610/gitv/live1/G_CCTV-3-HQ/G_CCTV-3-HQ/.m3u8
CCTV3,http://183.207.248.231/ott.js.chinamobile.com/PLTV/3/224/3221227481/index.m3u8
CCTV3,http://183.207.248.142/ott.js.chinamobile.com/PLTV/3/224/3221227295/index.m3u8
CCTV4,http://cctvalih5ca.v.myalicdn.com/live/cctvamerica_2/index.m3u8
CCTV4,http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8
CCTV4,http://117.169.120.140:8080/live/cctv-4/.m3u8
CCTV4,http://183.207.248.202/ott.js.chinamobile.com/PLTV/3/224/3221225781/index.m3u8
CCTV4,http://cg01.hrtn.net:9090/live/cctv4_1500.m3u8
CCTV4,http://223.110.245.142/ott.js.chinamobile.com/PLTV/3/224/3221227658/index.m3u8
CCTV4,http://183.207.249.137/ott.js.chinamobile.com/PLTV/3/224/3221227378/index.m3u8
CCTV4,http://223.110.241.137:6610/gitv/live1/G_CCTV-4-HQ/G_CCTV-4-HQ/.m3u8
CCTV4,http://183.207.248.201/ott.js.chinamobile.com/PLTV/3/224/3221225534/index.m3u8
